Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Каша молочная «Gipopo» мультизлаковая, банан-яблоко, 200 г";"Новинки";410;12;10;68;https://yarcheplus.ru/product/kasha-molochnaya-40855
"Каша молочная «Gipopo» Овсяная с персиком, 200 г";"Новинки";411;13;11;65;https://yarcheplus.ru/product/kasha-molochnaya-40854
"Шоколад молочный «Россия – щедрая душа!» Кофе с молоком, 75 г";"Новинки";517;7;29;55;https://yarcheplus.ru/product/shokolad-molochniy-40764
"Шоколад молочный «Россия – щедрая душа!» Очень молочный, 75 г";"Новинки";539;6.5;30;59;https://yarcheplus.ru/product/shokolad-molochniy-40763
"Шоколад молочный «Россия – щедрая душа!» Миндаль и изюм, 75 г";"Новинки";514;6.7;27;58;https://yarcheplus.ru/product/shokolad-molochniy-40762
"Шоколад молочный «Россия – щедрая душа!» Фундук и изюм, 75 г";"Новинки";525;6.5;29;59;https://yarcheplus.ru/product/shokolad-molochniy-40761
"Шоколад молочный «Milka MMMAX» Миндаль и карамель, 270 г";"Новинки";531;5.9;31;55;https://yarcheplus.ru/product/shokolad-molochniy-40753
"Готовый завтрак «Любятово» Подушечки с начинкой манго, 220 г";"Новинки";431;7.8;13.8;65.9;https://yarcheplus.ru/product/gotoviy-zavtrak-40746
"Готовый завтрак «Любятово» Шарики шоколадные Дуо микс, 500 г";"Новинки";374;8.9;1.6;78;https://yarcheplus.ru/product/gotoviy-zavtrak-40745
"Готовый завтрак «Любятово» Подушечки со вкусом булочки с корицей, 190 г";"Новинки";373;8;1.8;78.1;https://yarcheplus.ru/product/gotoviy-zavtrak-40744
"Корюшка, 500 г";"Новинки";102;15.4;3;;https://yarcheplus.ru/product/koryushka-40739
"Блинчики «Солнечный день» с вишней, 360 г";"Новинки";160;3.1;4.9;28.1;https://yarcheplus.ru/product/blinchiki-40795
"Набор шоколада «Ritter Sport», 150 г";"Новинки";537.8;7.2;33;53;https://yarcheplus.ru/product/nabor-shokolada-40801
"Набор шоколада «Ritter Sport» с орехом, 116 г";"Новинки";549.2;7.3;36;49;https://yarcheplus.ru/product/nabor-shokolada-40802
"Чипсы кукурузные «PAPA NACHOS» со вкусом Тайский кисло-сладкий соус чили, 75 г";"Новинки";460;6.5;23;57;https://yarcheplus.ru/product/chipsy-kukuruznye-40708
"Нектар «Свой сад» Яблочный, 1 л";"Новинки";45;;;11.2;https://yarcheplus.ru/product/nektar-40569
"Нектар «Свой сад» Морковный, 1 л";"Новинки";44;;;11;https://yarcheplus.ru/product/nektar-40567
"Нектар «Свой сад» Гранатовый, 1 л";"Новинки";48;;;12;https://yarcheplus.ru/product/nektar-40566
"Нектар «Свой сад» Тыквенный с мякотью, 1 л";"Новинки";44;;;11;https://yarcheplus.ru/product/nektar-40568
"Мармелад жевательный «Strike» Дринксы, 70 г";"Новинки";310;5;;72;https://yarcheplus.ru/product/marmelad-zhevatelniy-40625
